117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,0.516370,moderate
122.152.116.24_19.19.19.20.out.average,-0.007791,very-weak
130.133.3.130_19.19.19.12.out.average,0.205296,weak
130.161.131.20_19.19.19.21.out.average,-0.176810,very-weak
130.206.1.5_19.19.19.35.out.average,-0.017901,very-weak
130.225.254.116_19.19.19.8.out.average,-0.041748,very-weak
130.236.254.50_19.19.19.37.out.average,-0.051264,very-weak
130.75.2.22_19.19.19.13.out.average,0.191779,weak
137.189.4.14_19.19.19.15.out.average,0.160320,very-weak
140.117.11.7_19.19.19.39.out.average,0.015832,very-weak
140.128.9.18_19.19.19.38.out.average,0.192700,weak
141.217.0.199_19.19.19.47.out.average,-0.000020,very-weak
147.102.222.211_19.19.19.14.out.average,-0.055446,very-weak
149.20.37.36_19.19.19.22.out.average,-0.022077,very-weak
153.19.251.225_19.19.19.28.out.average,-0.100771,very-weak
155.210.4.101_19.19.19.34.out.average,-0.050079,very-weak
162.213.3.248_19.19.19.49.out.average,0.050207,very-weak
163.1.160.163_19.19.19.46.out.average,0.077833,very-weak
163.178.174.25_19.19.19.6.out.average,0.046335,very-weak
185.87.121.190_19.19.19.41.out.average,-0.082973,very-weak
192.38.78.162_19.19.19.7.out.average,0.084830,very-weak
193.136.164.6_19.19.19.29.out.average,0.025083,very-weak
193.166.3.3_19.19.19.9.out.average,-0.009688,very-weak
193.6.176.62_19.19.19.16.out.average,-0.068780,very-weak
194.105.226.20_19.19.19.17.out.average,0.036912,very-weak
194.116.84.15_19.19.19.18.out.average,-0.122778,very-weak
194.2.0.36_19.19.19.10.out.average,0.041002,very-weak
195.14.50.21_19.19.19.32.out.average,-0.087355,very-weak
202.28.209.254_19.19.19.40.out.average,0.068406,very-weak
202.38.97.230_19.19.19.4.out.average,-0.000020,very-weak
202.8.44.105_19.19.19.23.out.average,-0.117803,very-weak
202.90.159.172_19.19.19.25.out.average,0.005105,very-weak
203.0.178.32_19.19.19.1.out.average,-0.100972,very-weak
203.178.132.80_19.19.19.19.out.average,0.142314,very-weak
212.110.161.69_19.19.19.45.out.average,0.010582,very-weak
212.191.2.18_19.19.19.26.out.average,-0.101969,very-weak
212.191.2.18_19.19.19.27.out.average,0.019905,very-weak
212.47.239.32_19.19.19.11.out.average,0.013068,very-weak
213.166.187.92_19.19.19.36.out.average,0.058548,very-weak
213.229.119.169_19.19.19.44.out.average,-0.084546,very-weak
